key,en,hi,mr,de,fr,es,ko,ta,te,kn,ml,bn,gu,ur,ar,th,vi
line_rubber_sub,"Gensets, compressors, HVAC, pumps, presses — moulded rubber mounts by load & disturbing frequency","जेनसेट, कंप्रेसर, HVAC, पंप, प्रेस — लोड व डिस्टर्बिंग फ्रीक्वेंसी के अनुसार मोल्डेड रबर माउंट","जनरेटर, कॉम्प्रेसर, HVAC, पंप, प्रेस — लोड व डिस्टर्बिंग फ्रिक्वेन्सीनुसार मोल्डेड रबर माउंट","Stromerzeuger, Kompressoren, HLK, Pumpen, Pressen — Gummilager nach Last und Erregerfrequenz","Groupes électrogènes, compresseurs, CVC, pompes, presses — plots caoutchouc selon charge et fréquence perturbatrice","Grupos electrógenos, compresores, HVAC, bombas, prensas — soportes de goma según carga y frecuencia perturbadora","발전기, 압축기, HVAC, 펌프, 프레스 — 하중과 가진 주파수에 따른 성형 고무 마운트",,,,,,,,,,
how_1,1 · Calculate,1 · गणना,1 · गणना,1 · Berechnen,1 · Calculer,1 · Calcular,1 · 계산,,,,,,,,,,
how_1_sub,"Enter mass, speed, cycles and the application picture. Energies, effective mass, reaction force and deceleration follow the catalogue method (ACE / Enidine equivalent).","द्रव्यमान, गति, चक्र और एप्लिकेशन चित्र दर्ज करें। ऊर्जा, प्रभावी द्रव्यमान, प्रतिक्रिया बल और मंदन कैटलॉग विधि (ACE / Enidine समतुल्य) से निकलते हैं।","वस्तुमान, वेग, चक्र आणि अ‍ॅप्लिकेशन चित्र भरा. ऊर्जा, प्रभावी वस्तुमान, प्रतिक्रिया बल आणि मंदन कॅटलॉग पद्धतीने (ACE / Enidine समतुल्य) काढले जातात.","Masse, Geschwindigkeit, Zyklen und Anwendungsbild eingeben. Energien, effektive Masse, Reaktionskraft und Verzögerung folgen der Katalogmethode (ACE-/Enidine-äquivalent).","Saisissez masse, vitesse, cycles et l’image d’application. Énergies, masse effective, force de réaction et décélération suivent la méthode catalogue (équivalent ACE / Enidine).","Introduzca masa, velocidad, ciclos y la imagen de aplicación. Energías, masa efectiva, fuerza de reacción y deceleración siguen el método de catálogo (equivalente ACE / Enidine).","질량, 속도, 사이클 및 적용 그림을 입력합니다. 에너지, 유효 질량, 반력 및 감속도는 카탈로그 방식(ACE / Enidine 동등)으로 계산됩니다.",,,,,,,,,,
how_2,2 · Select,2 · चयन,2 · निवड,2 · Auswählen,2 · Sélectionner,2 · Seleccionar,2 · 선정,,,,,,,,,,
how_2_sub,"Every model is checked for energy per stroke, energy per hour, force, deceleration limit and effective-mass band. Three labelled picks: smallest, gentlest stop, best-centred.","हर मॉडल की प्रति स्ट्रोक ऊर्जा, प्रति घंटा ऊर्जा, बल, मंदन सीमा और प्रभावी-द्रव्यमान बैंड जाँची जाती है। तीन चिह्नित विकल्प: सबसे छोटा, सबसे कोमल रोक, सर्वोत्तम-केंद्रित।","प्रत्येक मॉडेलची प्रति स्ट्रोक ऊर्जा, प्रति तास ऊर्जा, बल, मंदन मर्यादा आणि प्रभावी-वस्तुमान बँड तपासली जाते. तीन लेबल केलेले पर्याय: सर्वात लहान, सर्वात सौम्य थांबा, सर्वोत्तम-केंद्रित.","Jedes Modell wird auf Energie pro Hub, Energie pro Stunde, Kraft, Verzögerungsgrenze und effektives Massenband geprüft. Drei markierte Empfehlungen: kleinstes, sanftester Stopp, bestzentriert.","Chaque modèle est vérifié : énergie par course, énergie horaire, force, limite de décélération et plage de masse effective. Trois choix étiquetés : le plus petit, l’arrêt le plus doux, le mieux centré.","Cada modelo se comprueba por energía por carrera, energía por hora, fuerza, límite de deceleración y banda de masa efectiva. Tres opciones marcadas: el más pequeño, la parada más suave, el mejor centrado.","모든 모델은 행정당 에너지, 시간당 에너지, 힘, 감속 한계 및 유효질량 범위를 검사합니다. 세 가지 추천: 최소형, 가장 부드러운 정지, 최적 중심.",,,,,,,,,,
how_3,3 · Request,3 · अनुरोध,3 · विनंती,3 · Anfragen,3 · Demander,3 · Solicitar,3 · 요청,,,,,,,,,,
how_3_sub,"Send the selection as an RFQ. ADONI TECH reviews it, approves the quotation and emails it with the GA drawings — normally within one working day.","चयन को RFQ के रूप में भेजें। ADONI TECH समीक्षा करता है, कोटेशन स्वीकृत करता है और GA ड्राइंग के साथ ईमेल करता है — सामान्यतः एक कार्यदिवस में।","निवड RFQ म्हणून पाठवा. ADONI TECH ती तपासते, कोटेशन मंजूर करते आणि GA ड्रॉइंगसह ईमेल करते — सहसा एका कामकाजाच्या दिवसात.","Auswahl als Anfrage senden. ADONI TECH prüft sie, gibt das Angebot frei und sendet es mit den GA-Zeichnungen per E-Mail — in der Regel innerhalb eines Werktags.","Envoyez la sélection comme demande de prix. ADONI TECH la vérifie, approuve le devis et l’envoie par e-mail avec les plans d’ensemble — normalement sous un jour ouvré.","Envíe la selección como RFQ. ADONI TECH la revisa, aprueba la cotización y la envía por correo con los planos GA — normalmente en un día laborable.",선정 결과를 견적 요청으로 보내세요. ADONI TECH가 검토·승인 후 GA 도면과 함께 이메일로 보내드립니다 — 보통 1 영업일 이내.,,,,,,,,,,
sales_title,Sales team,सेल्स टीम,सेल्स टीम,Vertriebsteam,Équipe commerciale,Equipo de ventas,영업팀,,,,,,,,,,
sales_sub,"Logged-in sales users see list prices, USD export prices and lead times inside every selector, and can raise requests on behalf of customers.","लॉग-इन सेल्स उपयोगकर्ता हर सेलेक्टर में सूची मूल्य, USD निर्यात मूल्य और लीड टाइम देखते हैं और ग्राहकों की ओर से अनुरोध उठा सकते हैं।","लॉग-इन सेल्स वापरकर्त्यांना प्रत्येक सिलेक्टरमध्ये किंमती, USD निर्यात किंमती व लीड टाइम दिसतात आणि ग्राहकांच्या वतीने विनंती करता येते.","Angemeldete Vertriebsnutzer sehen Listenpreise, USD-Exportpreise und Lieferzeiten in jedem Selektor und können Anfragen im Namen von Kunden stellen.","Les commerciaux connectés voient les prix, les prix export USD et les délais dans chaque sélecteur et peuvent créer des demandes pour les clients.","Los usuarios de ventas conectados ven precios de lista, precios de exportación en USD y plazos en cada selector, y pueden crear solicitudes en nombre de clientes.","로그인한 영업 사용자는 모든 선정 도구에서 정가, USD 수출가, 납기를 볼 수 있고 고객을 대신해 요청할 수 있습니다.",,,,,,,,,,
step_project,Project,प्रोजेक्ट,प्रकल्प,Projekt,Projet,Proyecto,프로젝트,,,,,,,,,,
step_project_sub,name · customer,नाम · ग्राहक,नाव · ग्राहक,Name · Kunde,nom · client,nombre · cliente,이름 · 고객,,,,,,,,,,
step_app,Application,एप्लिकेशन,अ‍ॅप्लिकेशन,Anwendung,Application,Aplicación,적용,,,,,,,,,,
step_app_sub,pick the picture,चित्र चुनें,चित्र निवडा,Bild wählen,choisir l’image,elija la imagen,그림 선택,,,,,,,,,,
step_duty,Duty,ड्यूटी,ड्युटी,Belastung,Charge,Servicio,부하 조건,,,,,,,,,,
step_duty_sub,mass · speed · cycles,द्रव्यमान · गति · चक्र,वस्तुमान · वेग · चक्र,Masse · Geschwindigkeit · Zyklen,masse · vitesse · cycles,masa · velocidad · ciclos,질량 · 속도 · 사이클,,,,,,,,,,
step_results,Results,परिणाम,निकाल,Ergebnisse,Résultats,Resultados,결과,,,,,,,,,,
step_results_sub,ranked selection,रैंक किया चयन,क्रमवारी निवड,Rangliste,sélection classée,selección clasificada,순위 선정,,,,,,,,,,
step_request,Request,अनुरोध,विनंती,Anfrage,Demande,Solicitud,요청,,,,,,,,,,
step_request_sub,RFQ & drawings,RFQ व ड्राइंग,RFQ व ड्रॉइंग,Anfrage & Zeichnungen,devis & plans,RFQ y planos,견적 및 도면,,,,,,,,,,
project_title,Project details,प्रोजेक्ट विवरण,प्रकल्प तपशील,Projektdaten,Détails du projet,Datos del proyecto,프로젝트 정보,,,,,,,,,,
project_hint,Saved in this browser. Email and phone are needed only when you send the request.,इस ब्राउज़र में सहेजा गया। ईमेल और फ़ोन केवल अनुरोध भेजते समय चाहिए।,या ब्राउझरमध्ये जतन. ईमेल व फोन फक्त विनंती पाठवताना लागतात.,Wird in diesem Browser gespeichert. E-Mail und Telefon nur beim Senden der Anfrage nötig.,Enregistré dans ce navigateur. E-mail et téléphone requis seulement pour envoyer la demande.,Guardado en este navegador. Correo y teléfono solo se necesitan al enviar la solicitud.,이 브라우저에 저장됩니다. 이메일과 전화는 요청 전송 시에만 필요합니다.,,,,,,,,,,
f_pname,Project name,प्रोजेक्ट नाम,प्रकल्पाचे नाव,Projektname,Nom du projet,Nombre del proyecto,프로젝트명,,,,,,,,,,
ph_pname,e.g. Bay 3 gantry — end stops,जैसे बे 3 गैंट्री — एंड स्टॉप,उदा. बे 3 गॅन्ट्री — एंड स्टॉप,z. B. Halle 3 Portal — Endanschläge,ex. Portique baie 3 — butées,p. ej. Pórtico nave 3 — topes,예: 3번 베이 갠트리 — 엔드스톱,,,,,,,,,,
f_pcust,Customer / company,ग्राहक / कंपनी,ग्राहक / कंपनी,Kunde / Firma,Client / société,Cliente / empresa,고객 / 회사,,,,,,,,,,
f_pcontact,Contact person,संपर्क व्यक्ति,संपर्क व्यक्ती,Ansprechpartner,Contact,Persona de contacto,담당자,,,,,,,,,,
f_pref,Reference no.,संदर्भ संख्या,संदर्भ क्र.,Referenz-Nr.,N° de référence,N.º de referencia,참조 번호,,,,,,,,,,
f_pequip,Equipment,उपकरण,उपकरण,Anlage,Équipement,Equipo,장비,,,,,,,,,,
ph_pequip,"e.g. 20 t EOT crane, 22 m span","जैसे 20 t EOT क्रेन, 22 m स्पैन","उदा. 20 t EOT क्रेन, 22 m स्पॅन","z. B. 20-t-Brückenkran, 22 m Spannweite","ex. Pont roulant 20 t, portée 22 m","p. ej. Puente grúa 20 t, luz 22 m","예: 20 t 천장크레인, 스팬 22 m",,,,,,,,,,
f_pby,Prepared by,तैयारकर्ता,तयार करणारा,Erstellt von,Préparé par,Preparado por,작성자,,,,,,,,,,
f_email,Email,ईमेल,ईमेल,E-Mail,E-mail,Correo,이메일,,,,,,,,,,
f_phone,Phone / WhatsApp,फ़ोन / WhatsApp,फोन / WhatsApp,Telefon / WhatsApp,Téléphone / WhatsApp,Teléfono / WhatsApp,전화 / WhatsApp,,,,,,,,,,
f_country,Country,देश,देश,Land,Pays,País,국가,,,,,,,,,,
f_gstin,GSTIN,GSTIN,GSTIN,GSTIN,GSTIN,GSTIN,GSTIN,,,,,,,,,,
f_gstin_sub,(for the quotation),(कोटेशन के लिए),(कोटेशनसाठी),(für das Angebot),(pour le devis),(para la cotización),(견적용),,,,,,,,,,
next_app,Next: application →,आगे: एप्लिकेशन →,पुढे: अ‍ॅप्लिकेशन →,Weiter: Anwendung →,Suivant : application →,Siguiente: aplicación →,다음: 적용 →,,,,,,,,,,
load_example,Load a worked example,उदाहरण लोड करें,उदाहरण लोड करा,Beispiel laden,Charger un exemple,Cargar un ejemplo,예제 불러오기,,,,,,,,,,
app_title,Which of these is your application?,इनमें से आपका एप्लिकेशन कौन-सा है?,यापैकी तुमचे अ‍ॅप्लिकेशन कोणते?,Welche Anwendung trifft zu?,Quelle est votre application ?,¿Cuál es su aplicación?,다음 중 어떤 적용입니까?,,,,,,,,,,
app_hint,Click the picture that matches. The governing standard sets the design speed and the deceleration limit.,मेल खाते चित्र पर क्लिक करें। लागू मानक डिज़ाइन गति और मंदन सीमा तय करता है।,जुळणाऱ्या चित्रावर क्लिक करा. लागू मानक डिझाइन वेग व मंदन मर्यादा ठरवते.,Passendes Bild anklicken. Die Norm legt Auslegungsgeschwindigkeit und Verzögerungsgrenze fest.,Cliquez sur l’image correspondante. La norme fixe la vitesse de calcul et la limite de décélération.,Haga clic en la imagen que coincide. La norma fija la velocidad de diseño y el límite de deceleración.,해당 그림을 클릭하세요. 적용 규격이 설계 속도와 감속 한계를 정합니다.,,,,,,,,,,
series_title,Model type,मॉडल प्रकार,मॉडेल प्रकार,Modelltyp,Type de modèle,Tipo de modelo,모델 유형,,,,,,,,,,
series_hint,Optional — tick the types you would accept. Leave all unticked to search the whole catalogue.,वैकल्पिक — स्वीकार्य प्रकार चुनें। पूरे कैटलॉग में खोज के लिए कुछ न चुनें।,ऐच्छिक — स्वीकार्य प्रकार निवडा. संपूर्ण कॅटलॉग शोधण्यासाठी काहीही निवडू नका.,Optional — gewünschte Typen markieren. Ohne Auswahl wird der ganze Katalog durchsucht.,Facultatif — cochez les types acceptés. Rien de coché = tout le catalogue.,Opcional — marque los tipos aceptables. Sin marcar se busca en todo el catálogo.,선택 사항 — 허용 유형을 체크하세요. 체크하지 않으면 전체 카탈로그를 검색합니다.,,,,,,,,,,
models,models,मॉडल,मॉडेल,Modelle,modèles,modelos,모델,,,,,,,,,,
f_standard,Governing standard,लागू मानक,लागू मानक,Maßgebende Norm,Norme applicable,Norma aplicable,적용 규격,,,,,,,,,,
back,← Back,← पीछे,← मागे,← Zurück,← Retour,← Atrás,← 뒤로,,,,,,,,,,
next_duty,Next: duty →,आगे: ड्यूटी →,पुढे: ड्युटी →,Weiter: Belastung →,Suivant : charge →,Siguiente: servicio →,다음: 부하 조건 →,,,,,,,,,,
duty_hint,MKS units. Only the fields this case needs are shown.,MKS इकाइयाँ। केवल इस केस के लिए आवश्यक फ़ील्ड दिखाए गए हैं।,MKS एकके. फक्त या केससाठी लागणारी फील्ड दाखवली आहेत.,MKS-Einheiten. Nur die für diesen Fall nötigen Felder werden angezeigt.,Unités MKS. Seuls les champs nécessaires à ce cas sont affichés.,Unidades MKS. Solo se muestran los campos que necesita este caso.,MKS 단위. 이 케이스에 필요한 항목만 표시됩니다.,,,,,,,,,,
calc,Calculate and select →,गणना करें और चुनें →,गणना करा व निवडा →,Berechnen und auswählen →,Calculer et sélectionner →,Calcular y seleccionar →,계산 및 선정 →,,,,,,,,,,
results_title,Selection,चयन,निवड,Auswahl,Sélection,Selección,선정 결과,,,,,,,,,,
th_model,Model,मॉडल,मॉडेल,Modell,Modèle,Modelo,모델,,,,,,,,,,
th_series,Type,प्रकार,प्रकार,Typ,Type,Tipo,유형,,,,,,,,,,
th_stroke,Stroke mm,स्ट्रोक mm,स्ट्रोक mm,Hub mm,Course mm,Carrera mm,행정 mm,,,,,,,,,,
th_use_stroke,Use /str,उपयोग/स्ट्रोक,वापर/स्ट्रोक,Ausl. /Hub,Util. /course,Uso /carr.,사용률/행정,,,,,,,,,,
th_use_hour,Use /h,उपयोग/घंटा,वापर/तास,Ausl. /h,Util. /h,Uso /h,사용률/시간,,,,,,,,,,
th_decel,Decel m/s²,मंदन m/s²,मंदन m/s²,Verzög. m/s²,Décél. m/s²,Decel. m/s²,감속 m/s²,,,,,,,,,,
th_force,Force kN,बल kN,बल kN,Kraft kN,Force kN,Fuerza kN,힘 kN,,,,,,,,,,
th_me,Eff. mass kg,प्रभावी द्रव्यमान kg,प्रभावी वस्तुमान kg,Eff. Masse kg,Masse eff. kg,Masa ef. kg,유효질량 kg,,,,,,,,,,
th_price,Price,मूल्य,किंमत,Preis,Prix,Precio,가격,,,,,,,,,,
th_lead,Lead time,लीड टाइम,लीड टाइम,Lieferzeit,Délai,Plazo,납기,,,,,,,,,,
th_notes,Notes,टिप्पणी,टीप,Hinweise,Remarques,Notas,비고,,,,,,,,,,
clear,clear,ठीक,ठीक,ok,ok,ok,이상 없음,,,,,,,,,,
to_rfq,Request drawings & quotation →,ड्राइंग व कोटेशन का अनुरोध →,ड्रॉइंग व कोटेशन मागवा →,Zeichnungen & Angebot anfragen →,Demander plans et devis →,Solicitar planos y cotización →,도면 및 견적 요청 →,,,,,,,,,,
print_a4,Print this selection (A4),यह चयन प्रिंट करें (A4),ही निवड प्रिंट करा (A4),Auswahl drucken (A4),Imprimer la sélection (A4),Imprimir la selección (A4),선정 결과 인쇄 (A4),,,,,,,,,,
rfq_title,Request drawings and quotation,ड्राइंग और कोटेशन का अनुरोध,ड्रॉइंग व कोटेशन विनंती,Zeichnungen und Angebot anfragen,Demande de plans et de devis,Solicitud de planos y cotización,도면 및 견적 요청,,,,,,,,,,
rfq_hint,Your selection and calculation are attached. Drawings are released by ADONI TECH after review — usually within one working day.,आपका चयन और गणना संलग्न हैं। समीक्षा के बाद ADONI TECH ड्राइंग जारी करता है — सामान्यतः एक कार्यदिवस में।,तुमची निवड व गणना जोडलेली आहे. तपासणीनंतर ADONI TECH ड्रॉइंग देते — सहसा एका कामकाजाच्या दिवसात.,Ihre Auswahl und Berechnung sind angehängt. Zeichnungen gibt ADONI TECH nach Prüfung frei — meist innerhalb eines Werktags.,Votre sélection et le calcul sont joints. Les plans sont diffusés par ADONI TECH après vérification — généralement sous un jour ouvré.,Su selección y cálculo van adjuntos. ADONI TECH libera los planos tras revisarlos — normalmente en un día laborable.,선정 결과와 계산이 첨부됩니다. 도면은 ADONI TECH 검토 후 발행됩니다 — 보통 1 영업일 이내.,,,,,,,,,,
f_qty,Quantity per position,प्रति स्थिति मात्रा,प्रति पोझिशन संख्या,Stückzahl je Position,Quantité par position,Cantidad por posición,위치당 수량,,,,,,,,,,
f_mount,Mounting,माउंटिंग,माउंटिंग,Befestigung,Fixation,Montaje,장착,,,,,,,,,,
f_cap,Rod end,रॉड एंड,रॉड एंड,Stangenende,Extrémité de tige,Extremo del vástago,로드 끝단,,,,,,,,,,
f_formats,Drawing formats,ड्राइंग फ़ॉर्मेट,ड्रॉइंग फॉरमॅट,Zeichnungsformate,Formats de plans,Formatos de plano,도면 형식,,,,,,,,,,
f_message,Message,संदेश,संदेश,Nachricht,Message,Mensaje,메시지,,,,,,,,,,
ph_message,"Anything else we should know — ambient temperature, duty cycle, mounting constraints…","कुछ और — परिवेश तापमान, ड्यूटी साइकिल, माउंटिंग सीमाएँ…","आणखी काही — सभोवतालचे तापमान, ड्युटी सायकल, माउंटिंग मर्यादा…","Weitere Hinweise — Umgebungstemperatur, Einschaltdauer, Einbauraum…","Autres informations — température ambiante, cycle, contraintes de montage…","Otros datos — temperatura ambiente, ciclo de trabajo, restricciones de montaje…","기타 사항 — 주변 온도, 듀티 사이클, 장착 제약…",,,,,,,,,,
send_rfq,Send request,अनुरोध भेजें,विनंती पाठवा,Anfrage senden,Envoyer la demande,Enviar solicitud,요청 보내기,,,,,,,,,,
close,Close,बंद करें,बंद करा,Schließen,Fermer,Cerrar,닫기,,,,,,,,,,
design_speed,design speed,डिज़ाइन गति,डिझाइन वेग,Auslegungsgeschwindigkeit,vitesse de calcul,velocidad de diseño,설계 속도,,,,,,,,,,
of_rated,of rated,रेटेड का,रेटेडच्या,der Nenngeschwindigkeit,de la nominale,de la nominal,정격 대비,,,,,,,,,,
decel_limit,deceleration limit,मंदन सीमा,मंदन मर्यादा,Verzögerungsgrenze,limite de décélération,límite de deceleración,감속 한계,,,,,,,,,,
no_decel_limit,no deceleration limit,कोई मंदन सीमा नहीं,मंदन मर्यादा नाही,keine Verzögerungsgrenze,pas de limite de décélération,sin límite de deceleración,감속 한계 없음,,,,,,,,,,
no_result,"Nothing in the catalogue satisfies this duty. Try a longer stroke, more buffers, or relax the standard.","कैटलॉग में कुछ भी इस ड्यूटी को पूरा नहीं करता। लंबा स्ट्रोक, अधिक बफर या मानक में ढील आज़माएँ।","कॅटलॉगमधील काहीही ही ड्युटी पूर्ण करत नाही. जास्त स्ट्रोक, जास्त बफर किंवा मानक सैल करून पहा.","Kein Katalogmodell erfüllt diese Belastung. Längeren Hub, mehr Puffer oder andere Norm versuchen.","Aucun modèle du catalogue ne satisfait cette charge. Essayez une course plus longue, plus de butoirs ou une norme moins stricte.","Ningún modelo del catálogo cumple este servicio. Pruebe una carrera mayor, más topes o una norma menos estricta.","카탈로그의 어떤 모델도 이 조건을 만족하지 않습니다. 더 긴 행정, 더 많은 버퍼 또는 완화된 규격을 시도하세요.",,,,,,,,,,
models_pass,models pass every check.,मॉडल सभी जाँचों में पास।,मॉडेल सर्व तपासण्या पास.,Modelle bestehen alle Prüfungen.,modèles passent tous les contrôles.,modelos superan todas las comprobaciones.,개 모델이 모든 검사를 통과했습니다.,,,,,,,,,,
design_velocity,Design velocity,डिज़ाइन वेग,डिझाइन वेग,Auslegungsgeschwindigkeit,Vitesse de calcul,Velocidad de diseño,설계 속도,,,,,,,,,,
ke_per_buffer,kinetic energy per buffer,प्रति बफर गतिज ऊर्जा,प्रति बफर गतिज ऊर्जा,kinetische Energie je Puffer,énergie cinétique par butoir,energía cinética por tope,버퍼당 운동 에너지,,,,,,,,,,
